run,fitness,gap,vehicles_used,routes_str
1,428.9816,-19.04,1,"[1, 47, 13, 48, 5, 19, 15, 26, 14, 42, 41, 20, 43, 45, 18, 38, 16, 46, 34, 40, 11, 50, 6, 39, 12, 33, 2, 23, 3, 17, 51, 10, 31, 35, 22, 30, 21, 36, 37, 4, 29, 32, 9, 27, 8, 44, 25, 24, 49, 7, 28, 1]"
2,428.9816,-19.04,1,"[1, 47, 13, 48, 5, 19, 15, 26, 14, 42, 41, 20, 43, 45, 18, 38, 16, 46, 34, 40, 11, 50, 6, 39, 12, 33, 2, 23, 3, 17, 51, 10, 31, 35, 22, 30, 21, 36, 37, 4, 29, 32, 9, 27, 8, 44, 25, 24, 49, 7, 28, 1]"
3,428.9816,-19.04,1,"[1, 47, 13, 48, 5, 19, 15, 26, 14, 42, 41, 20, 43, 45, 18, 38, 16, 46, 34, 40, 11, 50, 6, 39, 12, 33, 2, 23, 3, 17, 51, 10, 31, 35, 22, 30, 21, 36, 37, 4, 29, 32, 9, 27, 8, 44, 25, 24, 49, 7, 28, 1]"
4,428.9816,-19.04,1,"[1, 28, 7, 49, 24, 25, 44, 8, 27, 9, 32, 29, 4, 37, 36, 21, 30, 22, 35, 31, 10, 51, 17, 3, 23, 2, 33, 12, 39, 6, 50, 11, 40, 34, 46, 16, 38, 18, 45, 43, 20, 41, 42, 14, 26, 15, 19, 5, 48, 13, 47, 1]"
5,428.9816,-19.04,1,"[1, 47, 13, 48, 5, 19, 15, 26, 14, 42, 41, 20, 43, 45, 18, 38, 16, 46, 34, 40, 11, 50, 6, 39, 12, 33, 2, 23, 3, 17, 51, 10, 31, 35, 22, 30, 21, 36, 37, 4, 29, 32, 9, 27, 8, 44, 25, 24, 49, 7, 28, 1]"
6,428.9816,-19.04,1,"[1, 28, 7, 49, 24, 25, 44, 8, 27, 9, 32, 29, 4, 37, 36, 21, 30, 22, 35, 31, 10, 51, 17, 3, 23, 2, 33, 12, 39, 6, 50, 11, 40, 34, 46, 16, 38, 18, 45, 43, 20, 41, 42, 14, 26, 15, 19, 5, 48, 13, 47, 1]"
7,428.9816,-19.04,1,"[1, 47, 13, 48, 5, 19, 15, 26, 14, 42, 41, 20, 43, 45, 18, 38, 16, 46, 34, 40, 11, 50, 6, 39, 12, 33, 2, 23, 3, 17, 51, 10, 31, 35, 22, 30, 21, 36, 37, 4, 29, 32, 9, 27, 8, 44, 25, 24, 49, 7, 28, 1]"
8,428.8718,-19.07,1,"[1, 47, 13, 48, 19, 5, 18, 38, 6, 39, 12, 33, 2, 23, 9, 27, 32, 29, 4, 37, 36, 21, 30, 3, 17, 51, 22, 35, 31, 10, 50, 11, 40, 34, 46, 16, 45, 43, 20, 41, 42, 14, 26, 15, 25, 44, 8, 24, 49, 7, 28, 1]"
9,428.9816,-19.04,1,"[1, 47, 13, 48, 5, 19, 15, 26, 14, 42, 41, 20, 43, 45, 18, 38, 16, 46, 34, 40, 11, 50, 6, 39, 12, 33, 2, 23, 3, 17, 51, 10, 31, 35, 22, 30, 21, 36, 37, 4, 29, 32, 9, 27, 8, 44, 25, 24, 49, 7, 28, 1]"
10,428.8718,-19.07,1,"[1, 47, 13, 48, 19, 5, 18, 38, 6, 39, 12, 33, 2, 23, 9, 27, 32, 29, 4, 37, 36, 21, 30, 3, 17, 51, 22, 35, 31, 10, 50, 11, 40, 34, 46, 16, 45, 43, 20, 41, 42, 14, 26, 15, 25, 44, 8, 24, 49, 7, 28, 1]"
