run,fitness,gap,time
1,470.0586,-17.81,116.44
2,470.0586,-17.81,124.13
3,470.0586,-17.81,127.05
4,470.0586,-17.81,127.74
5,470.0586,-17.81,114.56
6,470.0586,-17.81,122.95
7,470.0586,-17.81,120.73
8,470.0586,-17.81,140.70
9,470.0586,-17.81,152.03
10,470.0586,-17.81,146.98
11,470.0586,-17.81,123.79
12,470.0586,-17.81,120.83
13,470.0586,-17.81,117.29
14,470.0586,-17.81,119.54
15,470.0586,-17.81,122.77
16,470.0586,-17.81,118.34
17,470.0586,-17.81,113.88
18,470.0586,-17.81,123.63
19,470.0586,-17.81,116.80
20,470.0586,-17.81,114.80
